id,text
1,li2 be7 e5 mih8 kiann7 lan5 lan5 san1 san1 long2 be7 tsiau5 tsng5
2,suah4 ka7 li2 tim3 tioh8
3,kiu3 lang5 ooh4
4,gua2 khah4 siunn7 ma7 si7 tshu3 lai7 e5 kau2 a2
5,si5 kan1 kau3 ah4 thang1 ho2 loh8 khi3 hioh4 khun3
6,i1 iong7 tsue3 au7 e5 khui3 lat8 beh4 lai5 to3 hop4
7,gua2 siunn7 tioh8 ah4 li2 tsit4 ma2 na7 theh8 khi3 hoo7 siu3 kuan1 a2 honnh4 i1 tsuat8 tui3 m7 ka7 lan2 theh8 e5 lah4
8,iu5 ki5 Clinton ka7 tsiong1 kiat4 tai7 liong7 kam1 kim3 lian5 kiat4 khi3 koh4 khah4 khuah4 e5 sia7 hue7 bo5 ping5 ting2 e5 bun7 te5
9,tak8 ke1 long2 kau3 e5 si5 lan2 tsiah4 tang5 tse5 tshut4 hai2 kuan1 nia2 hing5 li2
10,li2 tsit4 ma2 tai7 tsi3 na2 m7 bian2 liong7 tsa2 ka7 gua2 kong2
11,Cheese khau2 bi7 e5 pizza gua2 siong7 ai3 tsiah8
12,suah4 be7 ki3 tsit4 kong2 gua2 tsit8 e5 pak4 too2 iau1 kah4 kan2 na2 honnh4 kue3 mi5 e5 ke1 kui1 a2 leh4
13,kau3 hit4 e7 am3 oo1 am3 mi5 pik4 ua2 si3 ui5 long2 an1 tsing7 e5 si5 ma2 li7 e5 sim1 tsiu7 tsiam7 tsiam7 kam2 kak4 koo1 tuann1 put4 an1 kiann1 hiann5 in1 ui7 i1 long2 m7 bat4 tsit8 e5 ti7 tsit4 khuan2 am3 sam3 e5 soo2 tsai7 ke3 mi5 soo2 i2 ma2 li7 tsi2 u7 pho7 kau2 a2 ti7 i1 e5 sin1 pinn1 m7 kann2 khun3 lai5 teh4 tiunn1 ti5
14,i1 kong2 po2 siu2 e5 ki1 tok4 kau3 thuan5 the2 tsha2 kah4 tsin1 tua7 siann1 m7 koh4 kong2 khah4 peh8 e5 in1 si7 bo5 kui2 tsiah4 niau1 a2 bo5 siann2 iau3 kin2
15,kong2
